T; 45,65,83,71,69,68,67,63,61,59,58,46,44,38,35,33,29,28;
T2; 50;
TAB; 70;
TABLE; 62;
TAKE; 87,18,11,79,77,75,12,78,17,9;
TAKEN; 88;
TAKES; 71;
TASK; 85,65,86,14,88,84,64,3,71,62,46,19,16;
TASKORDER; 65,85,81,64,62;
TASKS; 64,84,14,2,65,81,80,71,19,9;
TASKS_IN; 65;
TASKS_OUT; 65;
TEAMS; 22;
TEMPORARY; 72;
TEMPORARY_REGISTRATION_IMAGES; 19;
TEMPORARY_TASK_IMAGES; 19;
TERMED; 52;
TERMINAL; 8;
TEST; 45,34,9,78,43;
TESTING; 9;
TEXT; 85,83,81,80,88,69,68,67,65,63,61,59,58,38,35,29,28,19,9;
TH; 62;
THAN; 24;
THANK; 16;
THAT; 64,85,62,88,87,80,77,74,46,27,81,52,45,43,39,37,18,14,11;
THE; 87,64,88,62,77,65,85,9,46,52,81,2,14,71,11,72,40,19,33,74,43,37,34,27,84,83,22,18,80,73,5,75,45,10,79,70,47,44,25,16,69,39,32,26,13,12,3,78,55,51,50,41,23,8,7,6,89,86,76,54,53,36,31,24,15;
THEINPUT; 14;
THEIR; 72;
THEM; 77,18;
THEN; 88,81,65,52,13,10;
THERE; 88,84,78,45,43,40,37,25,21,6;
THESE; 2,87;
THEY; 44,33,88,87,85,80,71,65;
THINK; 43;
THINKVISION; 60;
THIS; 88,85,77,87,72,65,52,46,19,2,83,70,45,24,18,11,80,76,75,71,69,68,67,64,63,62,61,59,58,57,38,36,35,29,28,26,25,23,22,17,14,9;
THORLABS; 19;
THORLABS-OLYMPUS.DAPSI; 19;
THORLABS.DAPSI; 19;
THOSE; 73;
THREE; 87,77,46;
THROUGH; 2,73,46,9,5;
THROUGHOUT; 14;
THUMB; 75,11;
TIF; 19;
TIFF; 22;
TIFFCOMP; 26;
TIGHT; 46;
TIGHTENING; 46;
TIME; 46,88,11,2,81,45,34,9,3;
TIMES; 64;
TISSUE; 87,74,55;
TITLE; 1;
TO; 87,65,85,88,77,14,2,64,62,76,46,33,81,44,18,79,75,74,45,43,36,19,78,72,70,52,40,37,34,32,22,17,11,9,83,80,73,71,69,68,67,63,61,59,58,57,42,38,35,31,29,28,27,26,24,21,16,15,10,7;
TODO; 69,68,67,63,61,59,58,46,38,35,29,28;
TOO; 24;
TOOL; 2,77;
TOOLBOX; 27;
TOPIC; 69,68,67,63,61,59,58,38,35,29,28;
TOUCH; 46;
TRACK; 9;
TTY; 33;
TTYPS0; 33;
TTYS; 33;
TTYS101; 33;
TTYUSB0; 33;
TTYXXX; 33;
TUBE; 52;
TUTORIALS; 52;
TWICE; 87,77,76,75;
TWO; 80,2,44,21,6;
TYPE; 66,65;
TYPES; 67;
TYPICAL; 89;
